Function,Class,Method,Group,Milestone,ClassMethod,
DatetimeIndex.day_of_week,DatetimeIndex,day_of_week,Time/date components,,DatetimeIndex.day_of_week,
DatetimeIndex.weekday,DatetimeIndex,weekday,Time/date components,,DatetimeIndex.weekday,
DatetimeIndex.quarter,DatetimeIndex,quarter,Time/date components,,DatetimeIndex.quarter,
DatetimeIndex.tz,DatetimeIndex,tz,Time/date components,,DatetimeIndex.tz,
DatetimeIndex.freq,DatetimeIndex,freq,Time/date components,,DatetimeIndex.freq,
DatetimeIndex.freqstr,DatetimeIndex,freqstr,Time/date components,,DatetimeIndex.freqstr,
DatetimeIndex.is_month_start,DatetimeIndex,is_month_start,Time/date components,,DatetimeIndex.is_month_start,
DatetimeIndex.is_month_end,DatetimeIndex,is_month_end,Time/date components,,DatetimeIndex.is_month_end,
DatetimeIndex.is_quarter_start,DatetimeIndex,is_quarter_start,Time/date components,,DatetimeIndex.is_quarter_start,
DatetimeIndex.is_quarter_end,DatetimeIndex,is_quarter_end,Time/date components,,DatetimeIndex.is_quarter_end,
DatetimeIndex.is_year_start,DatetimeIndex,is_year_start,Time/date components,,DatetimeIndex.is_year_start,
DatetimeIndex.is_year_end,DatetimeIndex,is_year_end,Time/date components,,DatetimeIndex.is_year_end,
DatetimeIndex.is_leap_year,DatetimeIndex,is_leap_year,Time/date components,,DatetimeIndex.is_leap_year,
DatetimeIndex.inferred_freq,DatetimeIndex,inferred_freq,Time/date components,,DatetimeIndex.inferred_freq,
DatetimeIndex.indexer_at_time,DatetimeIndex,indexer_at_time,Selecting,,DatetimeIndex.indexer_at_time,
DatetimeIndex.indexer_between_time,DatetimeIndex,indexer_between_time,Selecting,,DatetimeIndex.indexer_between_time,
DatetimeIndex.normalize,DatetimeIndex,normalize,Time-specific operations,,DatetimeIndex.normalize,
DatetimeIndex.strftime,DatetimeIndex,strftime,Time-specific operations,,DatetimeIndex.strftime,
DatetimeIndex.snap,DatetimeIndex,snap,Time-specific operations,,DatetimeIndex.snap,
DatetimeIndex.tz_convert,DatetimeIndex,tz_convert,Time-specific operations,,DatetimeIndex.tz_convert,
DatetimeIndex.tz_localize,DatetimeIndex,tz_localize,Time-specific operations,,DatetimeIndex.tz_localize,
DatetimeIndex.round,DatetimeIndex,round,Time-specific operations,,DatetimeIndex.round,
DatetimeIndex.floor,DatetimeIndex,floor,Time-specific operations,,DatetimeIndex.floor,
DatetimeIndex.ceil,DatetimeIndex,ceil,Time-specific operations,,DatetimeIndex.ceil,
DatetimeIndex.month_name,DatetimeIndex,month_name,Time-specific operations,,DatetimeIndex.month_name,
DatetimeIndex.day_name,DatetimeIndex,day_name,Time-specific operations,,DatetimeIndex.day_name,
DatetimeIndex.as_unit,DatetimeIndex,as_unit,Conversion,,DatetimeIndex.as_unit,
DatetimeIndex.to_period,DatetimeIndex,to_period,Conversion,,DatetimeIndex.to_period,
DatetimeIndex.to_pydatetime,DatetimeIndex,to_pydatetime,Conversion,,DatetimeIndex.to_pydatetime,
DatetimeIndex.to_series,DatetimeIndex,to_series,Conversion,,DatetimeIndex.to_series,
DatetimeIndex.to_frame,DatetimeIndex,to_frame,Conversion,,DatetimeIndex.to_frame,
DatetimeIndex.mean,DatetimeIndex,mean,Methods,,DatetimeIndex.mean,
DatetimeIndex.std,DatetimeIndex,std,Methods,,DatetimeIndex.std,
TimedeltaIndex.days,TimedeltaIndex,days,Components,,TimedeltaIndex.days,
TimedeltaIndex.seconds,TimedeltaIndex,seconds,Components,,TimedeltaIndex.seconds,
TimedeltaIndex.microseconds,TimedeltaIndex,microseconds,Components,,TimedeltaIndex.microseconds,
TimedeltaIndex.nanoseconds,TimedeltaIndex,nanoseconds,Components,,TimedeltaIndex.nanoseconds,
TimedeltaIndex.components,TimedeltaIndex,components,Components,,TimedeltaIndex.components,
TimedeltaIndex.inferred_freq,TimedeltaIndex,inferred_freq,Components,,TimedeltaIndex.inferred_freq,
TimedeltaIndex.as_unit,TimedeltaIndex,as_unit,Conversion,,TimedeltaIndex.as_unit,
TimedeltaIndex.to_pytimedelta,TimedeltaIndex,to_pytimedelta,Conversion,,TimedeltaIndex.to_pytimedelta,
TimedeltaIndex.to_series,TimedeltaIndex,to_series,Conversion,,TimedeltaIndex.to_series,
TimedeltaIndex.round,TimedeltaIndex,round,Conversion,,TimedeltaIndex.round,
TimedeltaIndex.floor,TimedeltaIndex,floor,Conversion,,TimedeltaIndex.floor,
TimedeltaIndex.ceil,TimedeltaIndex,ceil,Conversion,,TimedeltaIndex.ceil,
TimedeltaIndex.to_frame,TimedeltaIndex,to_frame,Conversion,,TimedeltaIndex.to_frame,
TimedeltaIndex.mean,TimedeltaIndex,mean,Methods,,TimedeltaIndex.mean,
PeriodIndex.day,PeriodIndex,day,Properties,,PeriodIndex.day,
PeriodIndex.dayofweek,PeriodIndex,dayofweek,Properties,,PeriodIndex.dayofweek,
PeriodIndex.day_of_week,PeriodIndex,day_of_week,Properties,,PeriodIndex.day_of_week,
PeriodIndex.dayofyear,PeriodIndex,dayofyear,Properties,,PeriodIndex.dayofyear,
PeriodIndex.day_of_year,PeriodIndex,day_of_year,Properties,,PeriodIndex.day_of_year,
PeriodIndex.days_in_month,PeriodIndex,days_in_month,Properties,,PeriodIndex.days_in_month,
PeriodIndex.daysinmonth,PeriodIndex,daysinmonth,Properties,,PeriodIndex.daysinmonth,
PeriodIndex.end_time,PeriodIndex,end_time,Properties,,PeriodIndex.end_time,
PeriodIndex.freq,PeriodIndex,freq,Properties,,PeriodIndex.freq,
PeriodIndex.freqstr,PeriodIndex,freqstr,Properties,,PeriodIndex.freqstr,
PeriodIndex.hour,PeriodIndex,hour,Properties,,PeriodIndex.hour,
PeriodIndex.is_leap_year,PeriodIndex,is_leap_year,Properties,,PeriodIndex.is_leap_year,
PeriodIndex.minute,PeriodIndex,minute,Properties,,PeriodIndex.minute,
PeriodIndex.month,PeriodIndex,month,Properties,,PeriodIndex.month,
PeriodIndex.quarter,PeriodIndex,quarter,Properties,,PeriodIndex.quarter,
PeriodIndex.qyear,PeriodIndex,qyear,Properties,,PeriodIndex.qyear,
PeriodIndex.second,PeriodIndex,second,Properties,,PeriodIndex.second,
PeriodIndex.start_time,PeriodIndex,start_time,Properties,,PeriodIndex.start_time,
PeriodIndex.week,PeriodIndex,week,Properties,,PeriodIndex.week,
PeriodIndex.weekday,PeriodIndex,weekday,Properties,,PeriodIndex.weekday,
PeriodIndex.weekofyear,PeriodIndex,weekofyear,Properties,,PeriodIndex.weekofyear,
PeriodIndex.year,PeriodIndex,year,Properties,,PeriodIndex.year,
PeriodIndex.asfreq,PeriodIndex,asfreq,Methods,,PeriodIndex.asfreq,
PeriodIndex.strftime,PeriodIndex,strftime,Methods,,PeriodIndex.strftime,
PeriodIndex.to_timestamp,PeriodIndex,to_timestamp,Methods,,PeriodIndex.to_timestamp,
Rolling.count,Rolling,count,Rolling window functions,,Rolling.count,
Rolling.sum,Rolling,sum,Rolling window functions,phase 2,Rolling.sum,
Rolling.mean,Rolling,mean,Rolling window functions,phase 2,Rolling.mean,
Rolling.median,Rolling,median,Rolling window functions,,Rolling.median,
Rolling.var,Rolling,var,Rolling window functions,phase 2,Rolling.var,
Rolling.std,Rolling,std,Rolling window functions,phase 2,Rolling.std,
Rolling.min,Rolling,min,Rolling window functions,phase 2,Rolling.min,
Rolling.max,Rolling,max,Rolling window functions,phase 2,Rolling.max,
Rolling.corr,Rolling,corr,Rolling window functions,,Rolling.corr,
Rolling.cov,Rolling,cov,Rolling window functions,,Rolling.cov,
Rolling.skew,Rolling,skew,Rolling window functions,,Rolling.skew,
Rolling.kurt,Rolling,kurt,Rolling window functions,,Rolling.kurt,
Rolling.apply,Rolling,apply,Rolling window functions,,Rolling.apply,
Rolling.aggregate,Rolling,aggregate,Rolling window functions,,Rolling.aggregate,
Rolling.quantile,Rolling,quantile,Rolling window functions,,Rolling.quantile,
Rolling.sem,Rolling,sem,Rolling window functions,,Rolling.sem,
Rolling.rank,Rolling,rank,Rolling window functions,,Rolling.rank,
Window.mean,Window,mean,Weighted window functions,,Window.mean,
Window.sum,Window,sum,Weighted window functions,,Window.sum,
Window.var,Window,var,Weighted window functions,,Window.var,
Window.std,Window,std,Weighted window functions,,Window.std,
Expanding.count,Expanding,count,Expanding window functions,,Expanding.count,
Expanding.sum,Expanding,sum,Expanding window functions,,Expanding.sum,
Expanding.mean,Expanding,mean,Expanding window functions,,Expanding.mean,
Expanding.median,Expanding,median,Expanding window functions,,Expanding.median,
Expanding.var,Expanding,var,Expanding window functions,,Expanding.var,
Expanding.std,Expanding,std,Expanding window functions,,Expanding.std,
Expanding.min,Expanding,min,Expanding window functions,,Expanding.min,
Expanding.max,Expanding,max,Expanding window functions,,Expanding.max,
Expanding.corr,Expanding,corr,Expanding window functions,,Expanding.corr,
Expanding.cov,Expanding,cov,Expanding window functions,,Expanding.cov,
Expanding.skew,Expanding,skew,Expanding window functions,,Expanding.skew,
Expanding.kurt,Expanding,kurt,Expanding window functions,,Expanding.kurt,
Expanding.apply,Expanding,apply,Expanding window functions,,Expanding.apply,
Expanding.aggregate,Expanding,aggregate,Expanding window functions,,Expanding.aggregate,
Expanding.quantile,Expanding,quantile,Expanding window functions,,Expanding.quantile,
Expanding.sem,Expanding,sem,Expanding window functions,,Expanding.sem,
Expanding.rank,Expanding,rank,Expanding window functions,,Expanding.rank,
ExponentialMovingWindow.mean,ExponentialMovingWindow,mean,Exponentially-weighted window functions,,ExponentialMovingWindow.mean,
ExponentialMovingWindow.sum,ExponentialMovingWindow,sum,Exponentially-weighted window functions,,ExponentialMovingWindow.sum,
ExponentialMovingWindow.std,ExponentialMovingWindow,std,Exponentially-weighted window functions,,ExponentialMovingWindow.std,
ExponentialMovingWindow.var,ExponentialMovingWindow,var,Exponentially-weighted window functions,,ExponentialMovingWindow.var,
ExponentialMovingWindow.corr,ExponentialMovingWindow,corr,Exponentially-weighted window functions,,ExponentialMovingWindow.corr,
ExponentialMovingWindow.cov,ExponentialMovingWindow,cov,Exponentially-weighted window functions,,ExponentialMovingWindow.cov,
api.indexers.BaseIndexer,api,indexers.BaseIndexer,Window indexer,,api.indexers.BaseIndexer,
api.indexers.FixedForwardWindowIndexer,api,indexers.FixedForwardWindowIndexer,Window indexer,,api.indexers.FixedForwardWindowIndexer,
api.indexers.VariableOffsetWindowIndexer,api,indexers.VariableOffsetWindowIndexer,Window indexer,,api.indexers.VariableOffsetWindowIndexer,
DataFrameGroupBy.__iter__,DataFrameGroupBy,__iter__,"Indexing, iteration",,DataFrameGroupBy.__iter__,
SeriesGroupBy.__iter__,SeriesGroupBy,__iter__,"Indexing, iteration",,SeriesGroupBy.__iter__,
DataFrameGroupBy.groups,DataFrameGroupBy,groups,"Indexing, iteration",,DataFrameGroupBy.groups,
SeriesGroupBy.groups,SeriesGroupBy,groups,"Indexing, iteration",,SeriesGroupBy.groups,
DataFrameGroupBy.indices,DataFrameGroupBy,indices,"Indexing, iteration",,DataFrameGroupBy.indices,
SeriesGroupBy.indices,SeriesGroupBy,indices,"Indexing, iteration",,SeriesGroupBy.indices,
DataFrameGroupBy.get_group,DataFrameGroupBy,get_group,"Indexing, iteration",,DataFrameGroupBy.get_group,
SeriesGroupBy.get_group,SeriesGroupBy,get_group,"Indexing, iteration",,SeriesGroupBy.get_group,
SeriesGroupBy.apply,SeriesGroupBy,apply,Function application,phase 2,SeriesGroupBy.apply,
DataFrameGroupBy.apply,DataFrameGroupBy,apply,Function application,phase 2,DataFrameGroupBy.apply,
SeriesGroupBy.agg,SeriesGroupBy,agg,Function application,,SeriesGroupBy.agg,
DataFrameGroupBy.agg,DataFrameGroupBy,agg,Function application,,DataFrameGroupBy.agg,
SeriesGroupBy.aggregate,SeriesGroupBy,aggregate,Function application,,SeriesGroupBy.aggregate,
DataFrameGroupBy.aggregate,DataFrameGroupBy,aggregate,Function application,,DataFrameGroupBy.aggregate,
SeriesGroupBy.transform,SeriesGroupBy,transform,Function application,phase 2,SeriesGroupBy.transform,
DataFrameGroupBy.transform,DataFrameGroupBy,transform,Function application,phase 2,DataFrameGroupBy.transform,
SeriesGroupBy.pipe,SeriesGroupBy,pipe,Function application,,SeriesGroupBy.pipe,
DataFrameGroupBy.pipe,DataFrameGroupBy,pipe,Function application,,DataFrameGroupBy.pipe,
DataFrameGroupBy.filter,DataFrameGroupBy,filter,Function application,,DataFrameGroupBy.filter,
SeriesGroupBy.filter,SeriesGroupBy,filter,Function application,,SeriesGroupBy.filter,
DataFrameGroupBy.all,DataFrameGroupBy,all,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.all,
DataFrameGroupBy.any,DataFrameGroupBy,any,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.any,
DataFrameGroupBy.bfill,DataFrameGroupBy,bfill,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.bfill,
DataFrameGroupBy.corr,DataFrameGroupBy,corr,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.corr,
DataFrameGroupBy.corrwith,DataFrameGroupBy,corrwith,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.corrwith,
DataFrameGroupBy.count,DataFrameGroupBy,count,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.count,
DataFrameGroupBy.cov,DataFrameGroupBy,cov,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.cov,
DataFrameGroupBy.cumcount,DataFrameGroupBy,cumcount,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.cumcount,
DataFrameGroupBy.cummax,DataFrameGroupBy,cummax,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.cummax,
DataFrameGroupBy.cummin,DataFrameGroupBy,cummin,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.cummin,
DataFrameGroupBy.cumprod,DataFrameGroupBy,cumprod,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.cumprod,
DataFrameGroupBy.cumsum,DataFrameGroupBy,cumsum,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.cumsum,
DataFrameGroupBy.describe,DataFrameGroupBy,describe,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.describe,
DataFrameGroupBy.diff,DataFrameGroupBy,diff,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.diff,
DataFrameGroupBy.ffill,DataFrameGroupBy,ffill,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.ffill,
DataFrameGroupBy.fillna,DataFrameGroupBy,fillna,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.fillna,
DataFrameGroupBy.first,DataFrameGroupBy,first,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.first,
DataFrameGroupBy.head,DataFrameGroupBy,head,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.head,
DataFrameGroupBy.idxmax,DataFrameGroupBy,idxmax,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.idxmax,
DataFrameGroupBy.idxmin,DataFrameGroupBy,idxmin,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.idxmin,
DataFrameGroupBy.last,DataFrameGroupBy,last,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.last,
DataFrameGroupBy.max,DataFrameGroupBy,max,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.max,
DataFrameGroupBy.mean,DataFrameGroupBy,mean,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.mean,
DataFrameGroupBy.median,DataFrameGroupBy,median,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.median,
DataFrameGroupBy.min,DataFrameGroupBy,min,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.min,
DataFrameGroupBy.ngroup,DataFrameGroupBy,ngroup,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.ngroup,
DataFrameGroupBy.nth,DataFrameGroupBy,nth,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.nth,
DataFrameGroupBy.nunique,DataFrameGroupBy,nunique,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.nunique,
DataFrameGroupBy.ohlc,DataFrameGroupBy,ohlc,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.ohlc,
DataFrameGroupBy.pct_change,DataFrameGroupBy,pct_change,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.pct_change,
DataFrameGroupBy.prod,DataFrameGroupBy,prod,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.prod,
DataFrameGroupBy.quantile,DataFrameGroupBy,quantile,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.quantile,
DataFrameGroupBy.rank,DataFrameGroupBy,rank,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.rank,
DataFrameGroupBy.resample,DataFrameGroupBy,resample,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.resample,
DataFrameGroupBy.rolling,DataFrameGroupBy,rolling,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.rolling,
DataFrameGroupBy.sample,DataFrameGroupBy,sample,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.sample,
DataFrameGroupBy.sem,DataFrameGroupBy,sem,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.sem,
DataFrameGroupBy.shift,DataFrameGroupBy,shift,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.shift,
DataFrameGroupBy.size,DataFrameGroupBy,size,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.size,
DataFrameGroupBy.skew,DataFrameGroupBy,skew,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.skew,
DataFrameGroupBy.std,DataFrameGroupBy,std,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.std,
DataFrameGroupBy.sum,DataFrameGroupBy,sum,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.sum,
DataFrameGroupBy.var,DataFrameGroupBy,var,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.var,
DataFrameGroupBy.tail,DataFrameGroupBy,tail,``DataFrameGroupBy`` computations / descriptive stats,phase 2,DataFrameGroupBy.tail,
DataFrameGroupBy.take,DataFrameGroupBy,take,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.take,
DataFrameGroupBy.value_counts,DataFrameGroupBy,value_counts,``DataFrameGroupBy`` computations / descriptive stats,,DataFrameGroupBy.value_counts,
SeriesGroupBy.all,SeriesGroupBy,all,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.all,
SeriesGroupBy.any,SeriesGroupBy,any,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.any,
SeriesGroupBy.bfill,SeriesGroupBy,bfill,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.bfill,
SeriesGroupBy.corr,SeriesGroupBy,corr,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.corr,
SeriesGroupBy.count,SeriesGroupBy,count,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.count,
SeriesGroupBy.cov,SeriesGroupBy,cov,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.cov,
SeriesGroupBy.cumcount,SeriesGroupBy,cumcount,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.cumcount,
SeriesGroupBy.cummax,SeriesGroupBy,cummax,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.cummax,
SeriesGroupBy.cummin,SeriesGroupBy,cummin,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.cummin,
SeriesGroupBy.cumprod,SeriesGroupBy,cumprod,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.cumprod,
SeriesGroupBy.cumsum,SeriesGroupBy,cumsum,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.cumsum,
SeriesGroupBy.describe,SeriesGroupBy,describe,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.describe,
SeriesGroupBy.diff,SeriesGroupBy,diff,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.diff,
SeriesGroupBy.ffill,SeriesGroupBy,ffill,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.ffill,
SeriesGroupBy.fillna,SeriesGroupBy,fillna,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.fillna,
SeriesGroupBy.first,SeriesGroupBy,first,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.first,
SeriesGroupBy.head,SeriesGroupBy,head,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.head,
SeriesGroupBy.last,SeriesGroupBy,last,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.last,
SeriesGroupBy.idxmax,SeriesGroupBy,idxmax,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.idxmax,
SeriesGroupBy.idxmin,SeriesGroupBy,idxmin,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.idxmin,
SeriesGroupBy.is_monotonic_increasing,SeriesGroupBy,is_monotonic_increasing,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.is_monotonic_increasing,
SeriesGroupBy.is_monotonic_decreasing,SeriesGroupBy,is_monotonic_decreasing,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.is_monotonic_decreasing,
SeriesGroupBy.max,SeriesGroupBy,max,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.max,
SeriesGroupBy.mean,SeriesGroupBy,mean,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.mean,
SeriesGroupBy.median,SeriesGroupBy,median,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.median,
SeriesGroupBy.min,SeriesGroupBy,min,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.min,
SeriesGroupBy.ngroup,SeriesGroupBy,ngroup,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.ngroup,
SeriesGroupBy.nlargest,SeriesGroupBy,nlargest,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.nlargest,
SeriesGroupBy.nsmallest,SeriesGroupBy,nsmallest,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.nsmallest,
SeriesGroupBy.nth,SeriesGroupBy,nth,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.nth,
SeriesGroupBy.nunique,SeriesGroupBy,nunique,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.nunique,
SeriesGroupBy.unique,SeriesGroupBy,unique,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.unique,
SeriesGroupBy.ohlc,SeriesGroupBy,ohlc,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.ohlc,
SeriesGroupBy.pct_change,SeriesGroupBy,pct_change,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.pct_change,
SeriesGroupBy.prod,SeriesGroupBy,prod,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.prod,
SeriesGroupBy.quantile,SeriesGroupBy,quantile,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.quantile,
SeriesGroupBy.rank,SeriesGroupBy,rank,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.rank,
SeriesGroupBy.resample,SeriesGroupBy,resample,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.resample,
SeriesGroupBy.rolling,SeriesGroupBy,rolling,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.rolling,
SeriesGroupBy.sample,SeriesGroupBy,sample,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.sample,
SeriesGroupBy.sem,SeriesGroupBy,sem,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.sem,
SeriesGroupBy.shift,SeriesGroupBy,shift,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.shift,
SeriesGroupBy.size,SeriesGroupBy,size,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.size,
SeriesGroupBy.skew,SeriesGroupBy,skew,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.skew,
SeriesGroupBy.std,SeriesGroupBy,std,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.std,
SeriesGroupBy.sum,SeriesGroupBy,sum,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.sum,
SeriesGroupBy.var,SeriesGroupBy,var,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.var,
SeriesGroupBy.tail,SeriesGroupBy,tail,``SeriesGroupBy`` computations / descriptive stats,phase 2,SeriesGroupBy.tail,
SeriesGroupBy.take,SeriesGroupBy,take,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.take,
SeriesGroupBy.value_counts,SeriesGroupBy,value_counts,``SeriesGroupBy`` computations / descriptive stats,,SeriesGroupBy.value_counts,
DataFrameGroupBy.boxplot,DataFrameGroupBy,boxplot,Plotting and visualization,,DataFrameGroupBy.boxplot,
DataFrameGroupBy.hist,DataFrameGroupBy,hist,Plotting and visualization,,DataFrameGroupBy.hist,
SeriesGroupBy.hist,SeriesGroupBy,hist,Plotting and visualization,,SeriesGroupBy.hist,
DataFrameGroupBy.plot,DataFrameGroupBy,plot,Plotting and visualization,,DataFrameGroupBy.plot,
SeriesGroupBy.plot,SeriesGroupBy,plot,Plotting and visualization,,SeriesGroupBy.plot,
Resampler.__iter__,Resampler,__iter__,"Indexing, iteration",,Resampler.__iter__,
Resampler.groups,Resampler,groups,"Indexing, iteration",,Resampler.groups,
Resampler.indices,Resampler,indices,"Indexing, iteration",,Resampler.indices,
Resampler.get_group,Resampler,get_group,"Indexing, iteration",,Resampler.get_group,
Resampler.apply,Resampler,apply,Function application,,Resampler.apply,
Resampler.aggregate,Resampler,aggregate,Function application,,Resampler.aggregate,
Resampler.transform,Resampler,transform,Function application,,Resampler.transform,
Resampler.pipe,Resampler,pipe,Function application,,Resampler.pipe,
Resampler.ffill,Resampler,ffill,Upsampling,,Resampler.ffill,
Resampler.bfill,Resampler,bfill,Upsampling,,Resampler.bfill,
Resampler.nearest,Resampler,nearest,Upsampling,,Resampler.nearest,
Resampler.fillna,Resampler,fillna,Upsampling,,Resampler.fillna,
Resampler.asfreq,Resampler,asfreq,Upsampling,,Resampler.asfreq,
Resampler.interpolate,Resampler,interpolate,Upsampling,,Resampler.interpolate,
Resampler.count,Resampler,count,Computations / descriptive stats,,Resampler.count,
Resampler.nunique,Resampler,nunique,Computations / descriptive stats,,Resampler.nunique,
Resampler.first,Resampler,first,Computations / descriptive stats,,Resampler.first,
Resampler.last,Resampler,last,Computations / descriptive stats,,Resampler.last,
Resampler.max,Resampler,max,Computations / descriptive stats,phase 2,Resampler.max,
Resampler.mean,Resampler,mean,Computations / descriptive stats,phase 2,Resampler.mean,
Resampler.median,Resampler,median,Computations / descriptive stats,,Resampler.median,
Resampler.min,Resampler,min,Computations / descriptive stats,,Resampler.min,
Resampler.ohlc,Resampler,ohlc,Computations / descriptive stats,,Resampler.ohlc,
Resampler.prod,Resampler,prod,Computations / descriptive stats,,Resampler.prod,
Resampler.size,Resampler,size,Computations / descriptive stats,,Resampler.size,
Resampler.sem,Resampler,sem,Computations / descriptive stats,,Resampler.sem,
