Function,Class,Method,Group,Milestone,ClassMethod,
DataFrame.nunique,DataFrame,nunique,Computations / descriptive stats,phase 1,DataFrame.nunique,
DataFrame.value_counts,DataFrame,value_counts,Computations / descriptive stats,phase 2,DataFrame.value_counts,
DataFrame.add_prefix,DataFrame,add_prefix,Reindexing / selection / label manipulation,phase 2,DataFrame.add_prefix,
DataFrame.add_suffix,DataFrame,add_suffix,Reindexing / selection / label manipulation,phase 2,DataFrame.add_suffix,
DataFrame.align,DataFrame,align,Reindexing / selection / label manipulation,,DataFrame.align,
DataFrame.at_time,DataFrame,at_time,Reindexing / selection / label manipulation,,DataFrame.at_time,
DataFrame.between_time,DataFrame,between_time,Reindexing / selection / label manipulation,,DataFrame.between_time,
DataFrame.drop,DataFrame,drop,Reindexing / selection / label manipulation,phase 1,DataFrame.drop,
DataFrame.drop_duplicates,DataFrame,drop_duplicates,Reindexing / selection / label manipulation,phase 2,DataFrame.drop_duplicates,
DataFrame.duplicated,DataFrame,duplicated,Reindexing / selection / label manipulation,phase 2,DataFrame.duplicated,
DataFrame.equals,DataFrame,equals,Reindexing / selection / label manipulation,,DataFrame.equals,
DataFrame.filter,DataFrame,filter,Reindexing / selection / label manipulation,on-hold,DataFrame.filter,
DataFrame.first,DataFrame,first,Reindexing / selection / label manipulation,on-hold,DataFrame.first,
DataFrame.head,DataFrame,head,Reindexing / selection / label manipulation,phase 1,DataFrame.head,
DataFrame.idxmax,DataFrame,idxmax,Reindexing / selection / label manipulation,phase 2,DataFrame.idxmax,
DataFrame.idxmin,DataFrame,idxmin,Reindexing / selection / label manipulation,phase 2,DataFrame.idxmin,
DataFrame.last,DataFrame,last,Reindexing / selection / label manipulation,,DataFrame.last,
DataFrame.reindex,DataFrame,reindex,Reindexing / selection / label manipulation,,DataFrame.reindex,
DataFrame.reindex_like,DataFrame,reindex_like,Reindexing / selection / label manipulation,,DataFrame.reindex_like,
DataFrame.rename,DataFrame,rename,Reindexing / selection / label manipulation,phase 1,DataFrame.rename,
DataFrame.rename_axis,DataFrame,rename_axis,Reindexing / selection / label manipulation,,DataFrame.rename_axis,
DataFrame.reset_index,DataFrame,reset_index,Reindexing / selection / label manipulation,phase 1,DataFrame.reset_index,
DataFrame.sample,DataFrame,sample,Reindexing / selection / label manipulation,phase 2,DataFrame.sample,
DataFrame.set_axis,DataFrame,set_axis,Reindexing / selection / label manipulation,,DataFrame.set_axis,
DataFrame.set_index,DataFrame,set_index,Reindexing / selection / label manipulation,phase 1,DataFrame.set_index,
DataFrame.tail,DataFrame,tail,Reindexing / selection / label manipulation,phase 1,DataFrame.tail,
DataFrame.take,DataFrame,take,Reindexing / selection / label manipulation,,DataFrame.take,
DataFrame.truncate,DataFrame,truncate,Reindexing / selection / label manipulation,,DataFrame.truncate,
DataFrame.backfill,DataFrame,backfill,Missing data handling,,DataFrame.backfill,
DataFrame.bfill,DataFrame,bfill,Missing data handling,,DataFrame.bfill,
DataFrame.dropna,DataFrame,dropna,Missing data handling,phase 1,DataFrame.dropna,
DataFrame.ffill,DataFrame,ffill,Missing data handling,,DataFrame.ffill,
DataFrame.fillna,DataFrame,fillna,Missing data handling,phase 1,DataFrame.fillna,
DataFrame.interpolate,DataFrame,interpolate,Missing data handling,,DataFrame.interpolate,
DataFrame.isna,DataFrame,isna,Missing data handling,phase 1,DataFrame.isna,
DataFrame.isnull,DataFrame,isnull,Missing data handling,phase 1,DataFrame.isnull,
DataFrame.notna,DataFrame,notna,Missing data handling,phase 1,DataFrame.notna,
DataFrame.notnull,DataFrame,notnull,Missing data handling,phase 1,DataFrame.notnull,
DataFrame.pad,DataFrame,pad,Missing data handling,,DataFrame.pad,
DataFrame.replace,DataFrame,replace,Missing data handling,phase 2,DataFrame.replace,
DataFrame.droplevel,DataFrame,droplevel,"Reshaping, sorting, transposing",,DataFrame.droplevel,
DataFrame.pivot,DataFrame,pivot,"Reshaping, sorting, transposing",,DataFrame.pivot,
DataFrame.pivot_table,DataFrame,pivot_table,"Reshaping, sorting, transposing",phase 1,DataFrame.pivot_table,
DataFrame.reorder_levels,DataFrame,reorder_levels,"Reshaping, sorting, transposing",,DataFrame.reorder_levels,
DataFrame.sort_values,DataFrame,sort_values,"Reshaping, sorting, transposing",phase 1,DataFrame.sort_values,
DataFrame.sort_index,DataFrame,sort_index,"Reshaping, sorting, transposing",phase 2,DataFrame.sort_index,
DataFrame.nlargest,DataFrame,nlargest,"Reshaping, sorting, transposing",,DataFrame.nlargest,
DataFrame.nsmallest,DataFrame,nsmallest,"Reshaping, sorting, transposing",,DataFrame.nsmallest,
DataFrame.swaplevel,DataFrame,swaplevel,"Reshaping, sorting, transposing",,DataFrame.swaplevel,
DataFrame.stack,DataFrame,stack,"Reshaping, sorting, transposing",,DataFrame.stack,
DataFrame.unstack,DataFrame,unstack,"Reshaping, sorting, transposing",,DataFrame.unstack,
DataFrame.swapaxes,DataFrame,swapaxes,"Reshaping, sorting, transposing",,DataFrame.swapaxes,
DataFrame.melt,DataFrame,melt,"Reshaping, sorting, transposing",phase 2,DataFrame.melt,
DataFrame.explode,DataFrame,explode,"Reshaping, sorting, transposing",,DataFrame.explode,
DataFrame.squeeze,DataFrame,squeeze,"Reshaping, sorting, transposing",,DataFrame.squeeze,
DataFrame.to_xarray,DataFrame,to_xarray,"Reshaping, sorting, transposing",,DataFrame.to_xarray,
DataFrame.T,DataFrame,T,"Reshaping, sorting, transposing",phase 1,DataFrame.T,
DataFrame.transpose,DataFrame,transpose,"Reshaping, sorting, transposing",phase 1,DataFrame.transpose,
DataFrame.assign,DataFrame,assign,Combining / comparing / joining / merging,,DataFrame.assign,
DataFrame.compare,DataFrame,compare,Combining / comparing / joining / merging,,DataFrame.compare,
DataFrame.join,DataFrame,join,Combining / comparing / joining / merging,phase 1,DataFrame.join,
DataFrame.merge,DataFrame,merge,Combining / comparing / joining / merging,phase 1,DataFrame.merge,
DataFrame.update,DataFrame,update,Combining / comparing / joining / merging,,DataFrame.update,
DataFrame.asfreq,DataFrame,asfreq,Time Series-related,,DataFrame.asfreq,
DataFrame.asof,DataFrame,asof,Time Series-related,,DataFrame.asof,
DataFrame.shift,DataFrame,shift,Time Series-related,phase 2,DataFrame.shift,
DataFrame.first_valid_index,DataFrame,first_valid_index,Time Series-related,phase 2,DataFrame.first_valid_index,
DataFrame.last_valid_index,DataFrame,last_valid_index,Time Series-related,phase 2,DataFrame.last_valid_index,
DataFrame.resample,DataFrame,resample,Time Series-related,phase 1,DataFrame.resample,
DataFrame.to_period,DataFrame,to_period,Time Series-related,,DataFrame.to_period,
DataFrame.to_timestamp,DataFrame,to_timestamp,Time Series-related,,DataFrame.to_timestamp,
